"tweet","senti"
"@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.",0
"I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.",0
"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily.",0
"Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu",2
"Found the self driving car!! /IWo3QSvdu2",2
"@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.",0
"Driverless cars ? What's the point ?",0
"how can you not love Obama? he makes jokes about himself.",4
"Safeway is very rock n roll tonight",4
"RT @jquery: The Ultimate jQuery List - http://jquerylist.com/",2
"I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.",2
"History exam studying ugh",0
" Missed this. each is 'newer generation'. I'd start w allegra then go claritin then zyrtec. I don't envy you!",2
"is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!",0
"I hope the girl at work  buys my Kindle2",2
"@aparajuli good luck to you ",4
"needs someone to explain lambda calculus to him! :(",0
"@unnitallman yeah looks like that only! &quot;busy&quot; is fucking me so yeah.. its my &quot;GF&quot; ",0
"Loves twitter",4
"@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal",0
"@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.",4
"I donâ€™t want either! RT @clayhebert: We might get pilotless planes before driverless cars - http://t.co/y4YOxaqI",0
"Super cool: ""@google: The next stop on the road to a self-driving car http://t.co/x4rem8zeKy http://t.co/UPdUUaTTb6""",4
"@ontheMAPP DITTO! not as good as the Nirvana Sandwiches ",4
"waiting in line at safeway.",2
"There's a google self-driving car parked next to me. Shall I ask for a ride?",2
"Aw fuck - this night ended badly ",0
"#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd",2
"am loving new malcolm gladwell book - outliers",4
"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.",4
"12 Gift Ideas For The Apple Lover Who Has Everything /0RTcyLOsAD  #technology",2
"So the #Coachella2015 diet begins /Pm0vK2fBG5",2
"New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo",2
"got a new pair of nike shoes. pics up later",2
" Hey any chance you have an update on Flight 99 Hartford to D.C.?",2
"Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629",2
"@kirstiealley my dentist is great but she's expensive...=(",0
"whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs",0
"loves chocolate milk  and that is GF YEAH..",4
"@DonnieWahlberg I can tell u have spoken. FB &amp; Twitter are on Fire right now!!  Hope ur feelin better love.  have a great night...",4
"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv",2
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",4
"@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ",4
"heyy loves!! just finished my record in the studio!! going to kick it with lauren c.!!  byee!! &lt;3",4
"@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.",4
"Apples not even barely doing anything a couple features here and there google has got self driving car Google glass google tango project ara",2
"I loved today ",4
"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s",2
"  we don't have much data on IND balls, but likely started at higher PSI / lower tmp than pats balls. #DeflateGate",2
"fucking faggots @apple",0
"Fine-tuning part of a song Maddy and I r making.  Sounding good. I feel pro. Not. Hahaha",4
"@amp451 good night  sweet dreamz",4
"@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt;3 (L) ps everythins cool with my mates ",4
" now I'm happy ",4
"@amazingphoebe mmh, you are stupid sometimes, but not as much as me, for i am the stupid, fucked up, retarded one in our relationship ",0
" they do its called Google car",2
"Night at the Museum, Wolverine and junk food - perfect monday!",4
"playing with cURL and the Twitter API",2
"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",0
"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?",0
"@the_real_usher LeBron is cool.  I like his personality...he has good character.",4
"fucking Google car in hiawatha!",0
"First dentist appointment [in years] on Wednesday possibly.",2
"this hockey band look like mgmt+3, but fucking hell they're good. sabrepulse come back too ",0
"........*sigh* long distance i fucking hate it.  but on the brighter side,random ass road trip to famu today.then fort valley monday! oboy",0
"Back when I worked for Nike we had one fav word : JUST DO IT! :)",4
"just landed at San Francisco",2
"Ugh studying today. I need a study place/study buddy! Anyone into it?! Its also lovely out   fuck the leaving cert.",0
"Just got my new toy. Canon 50D. Love love love it!",4
": #DeflateGate #Ballghazi #BallGate All Tom Brady and Belichick have to do is say they are long time democrats and base …",2
" Hi guys checking in US/AA 639 JFK PHX and renewed Admirals Club today.",2
"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html",0
"so tired. i didn't sleep well at all last night.",0
"Google has a self driving car!!!! Awesome",4
"could time-warner cable suck more?  NO.",0
"Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush",2
"@seanjs I'd like to own a completely redesigned self-driving car with (among other things) the front seats reversed.",4

